,title,author,likes
259,Midnight Poppy Land,Lilydusk,14.5M
260,Bad Signs,Jimena Aranda,2.1M
261,Love Me Knot,Sophia,5.5M
262,Beyond Virtual,EGA,"479,439"
263,Death of a Pop Star,Violet Karim,2.5M
264,The Shadow Prophet,Anne Delseit Marissa Delbressine,"306,189"
265,Version Day and Night,dewkneelight,1.2M
266,The Devil is a Handsome Man,Hellothisisangle,2.4M
267,Lore Olympus,Rachel Smythe,58M
268,Eaternal Nocturnal,instantmiso,5.1M
269,Suitor Armor,Purpah,8.7M
270,Castle Swimmer,Wendy Lian Martin,20.6M
271,Omniscient Reader,singNsong UMI,17.3M
272,My Gently Raised Beast,Yeoseulki Early Flower,8.8M
273,DARK MOON: THE BLOOD ALTAR,HYBE,2M
274,LUMINE,Emma Krogell,21M
275,The Duke's Cursed Charm,Goyogom Sohwagi,"326,337"
276,The Advanced Player of the Tutorial Tower,Bangguseok Gimssi Omagam,7.7M
277,ZOMGAN,ongoo dai,"115,146"
278,The God of High School,Yongje Park,29.7M
279,Eleceed,Jeho Son ZHENA,18.8M
280,Blood Reverie,lifelight,1.1M
281,Leveling Up My Husband to the Max,Uginon Nuova,3.8M
282,Villain to Kill,Fupin Eunji,3.7M
283,Like Wind on a Dry Branch,Dalsaeowl Hwaeum,8.3M
284,My In-Laws are Obsessed with Me ,seungu Han Yoon seol,2M
285,Love Me to Death,Toonimated,"744,026"
286,The World After the Fall ,singNsong S-Cynan,1.2M
287,Happily Ever Afterwards,Hwang DoTol Jeongseo,4.5M
288,Act Like You Love Me!,XUANN,5.8M
289,The Dungeon Cleaning Life of a Once Genius Hunter,Dalbeat GoilGoil,"121,133"
290,+99 Reinforced Wooden Stick,HONGSIL JIPERY,"561,167"
291,The Lone Necromancer,JJJ KIM KYOUNG-YEOL,1.7M
292,The Lazy Lord Masters the Sword,Dodomoon doip,1.6M
293,Mythic Item Obtained,Jung SeonYul Hess,"237,556"
294,For My Derelict Favorite,Kim Seonyu Ryuho,"539,130"
295,See You in My 19th Life,Lee Hey,10.2M
296,The Druid of Seoul Station,liveBear Mun sung ho,1.9M
297,1HP Club,elfboi,3.6M
298,From a Knight to a Lady,Ink. Hyerim Sung,2.8M
299,Hero Killer,Kkulbeol Beolkkul,3.7M
300,Return to Player,UMKY SEHON,3M
301,Dungeons & Artifacts,Zerowater UMKY,2.7M
302,His Majesty's Proposal,Bloomy INUS,3.7M
303,There Must Be Happy Endings,Jaerim Bulsa,3.2M
304,The Lone Spellcaster,Minchoba Chungcho,1.1M
305,I Get Stronger the More I Eat,Kitaeon Frost Mourne,1.5M
306,The Greatest Estate Developer,Lee hyunmin Kim Hyunsoo,1.5M
307,When Jasy Whistles,Cibeles,2.3M
308,My S-Class Hunters,seri biwan,"794,277"
309,Regina Rena: To the Unforgiven,NANA Seol Dong-Won,1.3M
310,"66,666 Years: Advent of the Dark Mage",PASA TARU,1.8M
311,Twilight Poem,Kim Suji MIDNIGHT STUDIO,"604,707"
312,Just a Goblin,Brandon Chen and JKSmanga Inuupen,"140,722"
313,The Witch and The Bull,Moonsia,6.4M
314,The Academy's Undercover Professor,sayren Tana,"186,340"
315,Winter Moon,Merryweather MAYUI,35.2M
316,The Newlywed Diary of a Witch and a Dragon,New lung Dimang,5M
317,Kill the Dragon,Miss Jisu J-Sun(REDICE STUDIO),"243,026"
318,Dear Nemesis,Velma ohsso,"427,035"
319,Murim RPG Simulation,Hyung Geun Cho Kwang Hwi,"582,095"
320,Limit Breaker,Oh Hongsil,"499,158"
321,Infinite Leveling: Murim,Jinwoo Kim Gonbung,1.5M
322,The Strongest Florist,Hyun hoo Joo Kumtata,3.9M
323,Ordeal,Brent Bristol,"687,683"
324,Defects,mushmello,"461,441"
325,Forever After,Hannah Patten Violet Matter,2.4M
326,Surviving as a Fish,DONG9,"195,391"
327,The Dark Lord's Confession,Topseoung,"485,187"
328,The Breaker: Eternal Force,GEUKJIN JEON JINHWAN PARK,"200,853"
329,The Warrior Returns,NARACK FUNGBACK,"890,936"
330,Raven Saga,Chihiro Howe,1.7M
331,Long After the Ending,Dorae Wonderdream,"644,058"
332,Rewriting the Villainess,HONGHYE,"899,506"
333,The Blood of the Butterfly,Remin,1.5M
334,"God, Please Make Me a Demon! ",Bulsa Yomgary,1.6M
335,The Male Lead's Girl Friend,KAKON RYU HEON,1.4M
336,Realta,Rachel Eaton,"316,260"
337,Spells From Hell,WmW Silke Tara,2.7M
338,Best Teacher Baek,ORIBORI S.J LEE,"334,609"
339,Watermelon,Rorita,6.1M
340,Reincarnated as an Unruly Heir,Jeon madu zaemu,"728,961"
341,Phone Addict,HD 8,"392,588"
342,X & Ash,Sehoon Kim Kwangsu Lee,"290,098"
343,The Ember Knight,Hwandaeng,1.1M
344,Zatanna & the Ripper,Sarah Dealy Syro,"284,597"
345,Karsearin: Adventures of a Red Dragon,YKB wm,"225,028"
346,Knight Under My Heart,Routine.  j HAN SungWoo,"188,669"
347,Gul,Atenmaru NicolieDC,1.1M
348,Philia Rosé: The Prophecy of the Crown of Thorns,Ryuta YUMI,"537,545"
349,Hooves of Death,Sam Bragg,2.7M
350,The Croaking,echorise,6.6M
351,So You're Raising a Warrior,JEON Segi JEON Hoyun,1.2M
352,7FATES: CHAKHO,HYBE,2.1M
353,21st Century Knights,Plastic Bottru,"585,355"
354,Woven,Lark & Wren,"337,920"
355,QUESTISM,TAEWAN YuNuni,"473,792"
356,The Final Raid Boss,KIM JANGHUN HA SEONGSHIN,"404,774"
357,The Matchmaking Baby Princess,Jimmy Sin Karin Park,1.3M
358,How to Become a Dragon,eon,4M
359,Lone,Mel0h,2.1M
360,Ultra-Alternate Character,JIXKSEE,"632,589"
361,Blue Matter,forgotuser,"561,731"
362,Little Matcha Girl,mame ´･ω･`,2M
363,A Dance of Swords in the Night,JP MinskySong,"97,126"
364,God Tribe,Agu_JUNU SEOPASS,"179,144"
365,A Summer Night's Dream,Kim su bak Kan,1.2M
366,Children of Mirra,MTS,"62,639"
367,Smity and Majesty,Nekucciola,1M
368,The Tax Reaper,WintersleepTurtle Elgar,"459,454"
369,Lily Crown,Diggymungo,"277,842"
370,Deor,J.oori,3M
371,Aza,usaesae,"513,088"
372,The Earth's Chosen Savior,Shinel Ha jung soo,"487,538"
373,Seven Years Later,Tirapuw hievasp,"323,397"
374,Metro Hunter,YOPY Mr.Cheok,"432,430"
375,Threads of Love,HAN KIJOO 1,"745,290"
376,The Spark in Your Eyes,MURO,"871,163"
377,The First Hunter,dedart Chanwook Jeon,"681,422"
378,Red Compass,Frank Calicó,"15,593"
379,Here There Be Dragons,Disteal Steve Horton,"353,443"
380,The Last Golden Child,Alkkae Saemong,"460,775"
381,Warrior of the Wild,Jingle & DOXO♥️ Brian Koffler,"512,020"
382,Lullaby,MJ Baeklee,"224,809"
383,Four Leaf,Lumaga,2M
384,Ghost King,SON GOHOO PARK JINSEOK,"219,755"
385,Just Pancakes,HadeToons,2.6M
386,THE STAR SEEKERS,HYBE,"746,490"
387,My Roommate is a Gumiho,NA,2.1M
388,Everfallen,Alai Cinereo,"67,402"
389,Teenage Dragon,Peanut,"185,458"
390,The Monster's Bride,Steak Sang beom,"624,812"
391,Protect the Knight,Dalbong,"472,274"
392,Heavenly Roommates,MARO kang jaegeon,"639,001"
393,Savior,Junqi Jo9,"398,959"
394,Our Resident Exorcist,BaStards Acorn nut & GB,"12,992"
395,Psychic Studies,PARK EUN HYUK,"256,343"
396,Nina's Magic Chest,RD,"194,645"
397,Fray,GO100,"161,792"
398,Neolithic Girl,JAEAH GARAM HAN,"815,510"
399,Religiously Gay,Snotprince,"201,276"
400,Warrior Executioner,Serae Kim,"112,346"
401,Prince Maker,Suosu,"503,328"
402,Zero Game,zelbasen,2.6M
403,Branching Out,profzach,"81,333"
404,Trailer Park Warlock,Matthew J. Rainwater,"731,719"
405,King of the East,Lee Dani Shin Jiwoo,"140,160"
406,Heavenly Eats,Myoung rang Allbba,"103,908"
407,Time Roulette,SN Bae302,"100,087"
408,Legends of Silica,Brian Edward Miller,"84,130"
409,The Fabled Warrior,Gosha Solem,"495,571"
410,Cydonia Shattering,Tony Karnowski Cocoon Production,"143,002"
411,Vampire Magicka,Bryan Golden,"100,420"
412,The First Night With the Duke,MSG Teava,11.7M
413,Tomorrow,Llama,"237,095"
414,Kubera,Currygom,3.8M
415,From Morning to Night,JiEun Son,"228,006"
416,Hwarang: Flower Knights of the Underworld,hwieum striy,"101,578"
417,Eyes,Jeong Summer,"140,156"
418,Luggage,zealforart,"291,523"
419,Tales of Sarimin the Jinn,NAGATERBANG,"173,861"
420,How to Survive a Romance Fantasy,sing-nanda,1.4M
421,WEBTOON x BTS,WEBTOON,1.3M
422,GANDA: Night Defender,Nikki Dibya Wardhana Linka08,"45,474"
423,A Heart for the Emperor,6S coconutberry,"377,971"
424,Siren's Lament,instantmiso,23.3M
425,Trump,Chaeeun Lee,1.7M
426,Promise of an Orchid,Jeong Hyun joo PARK JIN HWAN,"632,945"
427,Our Time,seaweed candy Leewol,"459,380"
428,Crumbs,Whitherling,1.8M
429,Atelier on the Sunflower Hill,Roctis Tray,"311,387"
430,Noblesse: Rai's Adventure,Jeho Son Kwangsu Lee,"327,693"
431,Aerial Magic,walkingnorth,1.7M
432,Hooky,Míriam Bonastre Tur,9.6M
433,Super Secret,eon,11.8M
434,The Strange Tales of Oscar Zahn,Tri Vuong,1.2M
435,Deadlife,Hooressha Jinguk Lim,"455,465"
436,The Wolf & Red Riding Hood,XUANN,3.6M
437,Noblesse,Jeho Son Kwangsu Lee,20.8M
438,For the Sake of Sita,Haga,"346,385"
439,Once a Hero,Yankifull,"622,636"
440,SHADOW,yunuji haejin,"192,173"
441,ORANGE MARMALADE,Seokwoo,4.9M
442,A Useless Villain,Yeoul ODI,1.2M
443,Newman,Josh Ulrich,2.7M
444,The Steam Dragon Express,Merryweather Porforever,3.1M
445,The Wolfman of Wulvershire,K. Oliver,2.1M
446,Cape of Spirits,Kris Nguyen,2.4M
447,Death's Game,LEE WONSIK GGULCHAN,1.5M
448,Phantom Paradise,Rurisen (L. Zhu),3.5M
449,The Wrath & the Dawn,Renée Ahdieh SilvesterVitale,5.5M
450,Fast Forward,PORTO Junki Hong,1M
451,Hardcore Leveling Warrior,Sehoon Kim,15.5M
452,Refund High School,LICO,11.9M
453,Mosquito Wars,JH,"583,911"
454,Dragnarok,KPJ Magmi,"447,125"
455,Snailogy,Snailords,2.6M
456,Anti-Monster Force,Goaten,"485,114"
457,My Universe,gongyi moonkyoung kim,1M
458,Finding Wonderland,roousuu WmW,1M
459,House of Stars,saltacuentos Lion Illustration,"867,823"
460,Catharsis,Ahniki,3.3M
461,GOSU,Giun Ryu Mun Jeong Hoo,6.3M
462,Your Adventure,Chris McCoy,"165,456"
463,Hellper,SAKK,1.1M
464,Rise from Ashes,Madeleine Rosca,4.4M
465,Skye,Cynthia J.S.,"616,960"
466,Dragnarok: Descendants,KPJ Magmi,"355,572"
467,April Flowers,ccustard,1.3M
468,Fluffy Boyfriend,Mihi,4.9M
469,Strawberry Seafoam,Bryan Golden,2.2M
470,Tenants from Another World,kiki E-um,"486,817"
471,Flow,Honey B,2.9M
472,Elf & Warrior,AC Stuart Victor Rosas II,2.5M
473,Under the Aegis,VIMEDDIEE,"562,902"
474,DICE,Hyunseok Yun,10.3M
475,Love Falls Like Rain,Yeri,"621,298"
476,microHUNTER,B.Y JRobin,3M
477,LESSA,POGO,"571,789"
478,Unlucky is as Lucky does,M. Nires,3.5M
479,DON'T HATE,Pink_Alien,4.3M
480,The Wendybird,WmW Thabfu,"817,279"
481,UnderPrin,smbryms,2.8M
482,Winter Woods,COSMOS VAN.J,3.8M
483,The Girl Who Sees Smells ,Maanchwee,"794,887"
484,Crown of Feathers,Nicki Pau Preto Foxkirin,1.2M
485,The Golden Spoon,HD3,"323,126"
486,Dents,Beth Behrs & Matt Doyle Sid Kotian,"872,489"
487,Messenger,Paul Tobin Ray Nadine,"727,999"
488,LESSA 2 - The Crimson Knight,POGO,"853,137"
489,FLOWAR,Hongjacga,"263,523"
490,Brothers Bond,Kevin Grevioux Ryan Benjamin,"159,725"
491,1000,Chuck Brown Sanford Greene,"81,074"
492,Helios:Femina,Michelle Phan,"302,034"
493,WEBTOON GREENLiGHT,WEBTOON Various Artists,3.3M
494,Ghosts Among the Wild Flowers,Ghost Wintersnow,"464,533"
495,Asterion,NeverDraws,"417,705"
496,The Masked Fables,Ebae Kim,"537,629"
497,Davinchibi,Camilla d’Errico Stephen W. Martin,"77,576"
498,SOUL CARTEL,Haram Youngji Kim,1.3M
499,Gepetto,Jewon Yeon,"721,374"
500,Guardians of the Video Game,Gasfard,"474,702"
501,Falling in the Blue,SimzArt,"135,275"
